Student's response,Score (1.0-6.0)
"Have you ever hear about the electricity, In 2021 we could not live with out electricity it could make a light it could be use for car alot of alot of stuff use for electricity.

What if we didnt had a electricity I think we could able to make more safty metarila that could able to help us for our life becuase right know there is many kind of way to make a electricity but most of them are very dangerous to make it could be affecthing a animal it could change a weather and also the earth might be deistroy by a people.

I really wont to ask that have you ever thinking about animal did you told that electricity is very dangeroues to every,I understand that all device in 2021 use full and we need it but still I do not understand. god made this world to make us to be happy and also a animal but why does people destory a earth I am very disapointhing at this person.

what if we live not using a electricity able to make I think it will be hard to live but it will be best situation to be happy for people,animal,Earth I think if we dont have a electricity we will try to make a new stuff like electricity 

I really wont to tell that lets use a electircity little bit and try to make our earth and animal better.becuase its time to thinking about the animal and also time to think about the our fewture.",3.3
"Dear Mayor,
I would like to request to name the new activity center after the famous baseball player - Roberto Clemente.
During his carrer he has not only been succesful in sport, but succesful in fond raising. Roberto has planned sport centers in Puerto Rico and California. He has delivered supplies to earthquake victims. He promotes antiracism.
Apart from his charity work, he has been a good person in general. He has always been teaching the kids value of hard work by showing his own example. He grew up poor, coud not even afford basic equipment. Yet still, became a pro playerat 18.
I suppose that those attributes would do good for the reputation of the new activity center. Please do consider my offer. I will be wating for any kind of respond. 
Best regards,
Your Citizen",2.6
"Dear the city mayor

I would like the new community activity center to name for Roberto Clemente. This is his profile.
Roberto Clemente, who was born in Puetro Rico grew up poor so he didn't buy sports equipment. However, he has a talent of athlete, so he could become a proffesional league baseball player and joined Brookln Dodger Major League Baseball team when he was 20 years old.
He planned sports centers in Puetro and California to act as a roe model for children and minorities.
During 1955-1972, he played for PittsbughPirates baseball team and he received Most Valuable Player award in1971. In 1973, he got Gold Medal for distinguished achievement. 
''Roberto Clemente Award'', which is given to baseball players who help others.

Best Regards.",3.5
"Dear Mr.mayer

The reason why I am writing this Email is that I think the comunity activity center should be named for Roberto Clemente. Because Roberto did lots of human work. For example, he planned sports centers for children, delivered supplies to earthquake victims and acted as a role model for children and minorities. 
Also, he had accomplished lots of things and got lots of awords. These are my resons why I think the new community activity center should be named for Robelto Clemente. 
I would be very happy if you think about this positively. I am looking forward to your Email. 

Rino",3.8
"Dear Mr King, 

In our city here is the new community activity center. I think, it should be named for Roberto Clemente. 

Roberto Clemente is the most successful baseball player. He was born in Puerto Rico. In childhood he grew up poor, so there was no money to buy the sport equipment, but with his passion and courage he became a talented baseball athlete. With time, he became a Puerto Rican proffesional league baseball player at age 18. When he was 20 years old, he joined the Brooklyn Dodgers Major League Baseball team. 

First, I think we can demonstrate the biography of Roberto Clemente and show why he is a successful person though making a museum for him. Secondly, we can open the baseball lessons for children. Roberto did it at his time, so we can show our respect to him through this changing. Thirdly, we can donate money for charity from the museum and lessons because he also did this and the donation was a part of his life. 

The center can have Roberto Clemente as a symbol to demonstrate the success, power and hard work to reach the sport goals. 

Kind regards, 

Sofiya Stenina ",4.6
In my mind Roberto Clementa was very famous and legendary person.I think that new community activity centre should be named for his name.So many people like him and his activity.In my opinion they will be happy if the name of baseball player stay in name of new activity centre.And other people all over the world will be happy for this situation.They will go to this centre and they will know who's name is there.I want to go to this activity centre when it was named for Roberto Clemento.I will say to my parents who's name it is.I will say that he was gorgeous and very valuable player.So i think that the new community activity center should be named for Roberto Clemento.,4.3
"Robarto Clementes was born in Puerto Ricko. He wasnt born in a rich family and couldent afourd sports equipment. He was very talented in baseball and he hadpasion for playing it. He started his profesional caerear at 18 and joind Brooklyn Dogers Major League Baseball tem at an age of 20.
He was qind and helpfull persone and his was pashend not just in baseball but also in helping people. For eaxample he deliverd supplies to earquake victims in Central America.
He aslo liked children and planned sports centers for children in Puerto Rico and California. He also behaved well and acted like a roll model for children and minorities. He Also taught children the value of hard work through sports.
He was a black man and in those times it was quiete hard to live in America as a black perdsone becuse there was alot of racisem at that time. So he dident just leave it and hoped for some one else to deal with it. He spoke out against racial discrimination. Which was very brave.
The Activity Center should be named for Roberto Clemente bcause he was an amazing hard working and helpful persone hwo did alot of  kind and brave things during his life.",3.7
"08/12/2020
To city mayor
Dear city mayor good afternoon.In my letter i would like to speack about Talented athlete Roberto Clemente and about why i think that activity center should be named for him.Roberto Clemente was born in Puerto Rico in a poor family.His family did not have money for sports equipment for baseball.Roberto was a very good boy that is why he do baseball without uniform and when he was 18 years old he plaid in proffesional baseball league.I think that you should named activity center ror Roberto Clemente.Because he spent a lot of time to do a good things.His family were poor but he do sports and he did not desponded.I think that he is a hero.And also i think that his accomplishments are very big for his family and for his country because he won a lot of things.
Please write me a response.
Kind regards
Daniil Gonikamn",3.7
"Dear Mayor,
 Roberto Clemente is greatly known in our country, and we would like to name aor community activity center in the name of him, because of such accomplishments that he made. 
 He has made many achievements in his baseballer career like: ""Most valuable Player, 1971""; ""First latino inducted into Baseball Hall of Fame, 1973""; Congressional Gold Medal, 1973"". 
 We think that, our community center will be looking up to helping people in the name of the famous baseball player and everyone will be looking for our support. 
 He not only played for the fame of the country, he helped the poor youth to study and get stronger at athletics programs. He tought them what is value of hard work in sports. ",3.7
"Dear city mayor, 
I am not sure about the first one, for the second one i think I would like to talk about his history and backround, the activity center should be named after Roberto Clemente, because he was a great athlete, and he had a passion for sports and many more. 
Kind Regards,
Affan Khan",3.1
